,Unnamed: 0,follower_count,friend_count,geo,location,name,place,retweet_count,screen_name,source,status_id,status_text,time_zone,tmstamp,pricing,free,promo,service,fast,slow,movie_game,texting
23,23,3370,3108,,"Pinecliff, Colorado",David Kneeland,,5,kneelandsan,Other,592116569305522176,"RT @SardinePundit: The crowd at the vomit-inducing White House Correspondents Dinner,can't wait to worship their clay-footed idol,Obama htt…",Mountain Time (US & Canada),Sun Apr 26 00:02:45 +0000 2015,0,0,0,0,0,0,0,0
24,24,882,821,,Not_provided,Laurie,,5,detous,Other,592116560300388354,"RT @GottaLaff: Has Fox ""News"" reported on how terrible President Obama's #WHCD stand-up is yet? He'll be on in 90 minutes. #NerdProm",Pacific Time (US & Canada),Sun Apr 26 00:02:43 +0000 2015,0,0,0,0,0,0,0,0
25,25,6273,6129,,"Kentucky, USA",Sandra F Woodward,,0,KySandy,TweetDeck,592116560149520384,"Right Before Bin Laden Died, Obama Refused to Joke About Him http://t.co/gpjnGc6rVP via @usnews || I wonder what he leaves out tonight #WHCD",Atlantic Time (Canada),Sun Apr 26 00:02:43 +0000 2015,0,0,0,0,0,0,0,0
26,26,4583,4995,,"bronx, new tork",The Celtic Critic,,0,timodonnell14,Other,592116552436187137,http://t.co/erOTSN96C6,Unknown,Sun Apr 26 00:02:41 +0000 2015,0,0,0,0,0,0,0,0
27,27,117,215,,Venezuela,Edgar Aristizabal,,0,edgardantena,Other,592116547155578881,"#2015SeraHistorico Le cantaron sus verdades a Obama en Panamá y a Rajoy lo enjabonaron y restregaron en el congreso, pa que mas!",Caracas,Sun Apr 26 00:02:40 +0000 2015,0,0,0,0,0,0,0,0
28,28,840,1056,,Nairobi-Dakar-Douala-Bamenda,Walter NGOUAMO,,0,Walter_NGOUAMO,Other,592116539840565248,http://t.co/tfQXSUyrtR... http://t.co/2dE3uxh4AF,Athens,Sun Apr 26 00:02:38 +0000 2015,0,0,0,0,0,0,0,0
29,29,97,221,,Not_provided,MP1,,17,MPellegrini1,Other,592116538980851712,"RT @RockNRollPics: Robert DeNiro, Bruce Springsteen, and Barack Obama. http://t.co/1tL7Hy2OvA",Buenos Aires,Sun Apr 26 00:02:38 +0000 2015,0,0,0,0,0,0,0,0
30,30,132,121,,Not_provided,#OrwellpoodlesUnite,,0,fowlerradio,Other,592116537001058305,@AandGShow Exciting! I like the part where Obama suckles the WH press Corp at his breast &amp; hands out their new leashes. Yay!,Unknown,Sun Apr 26 00:02:38 +0000 2015,0,0,0,0,0,0,0,0
31,31,488,742,,"winnipeg, mb",LindsayB,,0,ladybyng19,Unknown,592116531493883904,@GrooveSDC that's what I said! Lol Obama really IS saving small business america,Central Time (US & Canada),Sun Apr 26 00:02:36 +0000 2015,0,0,0,0,0,0,0,0
32,32,2817,2836,,Not_provided,Eleanor Davis,,3,theeleanordavis,Unknown,592116531456253952,RT @petefrt: Obama Was Expressly Warned About VA Death Panels 5 Yrs Ago... http://t.co/8WjbM0wJIB  #tcot #teaparty #pjnet #p2 http://t.co/e…,Eastern Time (US & Canada),Sun Apr 26 00:02:36 +0000 2015,0,0,0,0,0,0,0,0
33,33,249,486,,Not_provided,Mary Brady,,0,khmld9t5,Unknown,592116530642554880,Open letter 2 people who hate Obama more than they love Amer. The author sumed it up w more accuracy th http://t.co/UzIF5oIh1W via @dailykos,Unknown,Sun Apr 26 00:02:36 +0000 2015,0,0,0,0,0,0,0,0
34,34,1798,227,,"Alicante, Spain",World News,,0,world_latest,Unknown,592116529937948672,New: Russian hackers read unclassified Obama emails – report [link removed] #follow Go to [link removed] and make free … world_latest Go to…,Unknown,Sun Apr 26 00:02:36 +0000 2015,0,1,0,0,0,0,0,0
35,35,3776,783,,Not_provided,yerania ,,0,wonderfulgrier,Unknown,592116528939606017,WHEN YOUR IDOL IS MEETING OBAMA http://t.co/c6xz0BDfMy,Pacific Time (US & Canada),Sun Apr 26 00:02:36 +0000 2015,0,0,0,0,0,0,0,0
36,36,8,57,,Not_provided,AGENCIES NEWS,,0,AgenciesNews,Unknown,592116523294134273,Russian hackers read Obama's unclassified emails last year: NYT http://t.co/N139Dcuam9,Unknown,Sun Apr 26 00:02:34 +0000 2015,0,0,0,0,0,0,0,0
37,37,185,272,,"Rochester, MN, USA",Paul Huddleston,,0,paulmhuddleston,Unknown,592116520278331392,"Russian Hackers Read Obama’s Unclassified Emails, Officials Say http://t.co/ss8nXwXyXh",Central Time (US & Canada),Sun Apr 26 00:02:34 +0000 2015,0,0,0,0,0,0,0,0
38,38,149,274,,Central West Virgnia,Patricia Workman,,10,WvRhyter,Unknown,592116519624019969,"RT @jstines3: Obama renders CONSTITUTION VOID by illegal &amp; rogue Executive Orders!
 
#PJNET #RedMeat #MakeItRight #NoAmnesty 
http://t.co/0…",Eastern Time (US & Canada),Sun Apr 26 00:02:33 +0000 2015,0,0,0,0,0,0,0,0
39,39,70,254,,Behind you all along!,Adam Hall,,0,adamchhall,Unknown,592116519124897792,"@OfQuartz1 @MichaelEDyson @CornelWest Charisma isn't enough.Obama had it, a crisis in 2008, etc. &amp; he wasn't able to do everything he wanted",Pacific Time (US & Canada),Sun Apr 26 00:02:33 +0000 2015,0,0,0,0,0,0,0,0
40,40,4583,4995,,"bronx, new tork",The Celtic Critic,,0,timodonnell14,Unknown,592116516155314176,Biden: ‘No President Has Ever Done More to Support Israel’s Security than Obama’ –  http://t.co/Lw1uhKx0Fi,Unknown,Sun Apr 26 00:02:33 +0000 2015,0,0,0,0,0,0,0,0
41,41,704,981,,Central Florida,Mark Fisher,,20,Gatortrapper,Unknown,592116515434016770,"RT @petefrt: Dems Privately Call Obama Detached, Flat Footed, Incompetent http://t.co/NwruVp4rGn  #tcot #teaparty #pjnet #p2 http://t.co/IF…",Eastern Time (US & Canada),Sun Apr 26 00:02:32 +0000 2015,0,0,0,0,0,0,0,0
42,42,793,96,,Not_provided,Glauco Maggi,,0,glaucomaggi,Unknown,592116514154803202,"Glauco Maggi @glaucomaggi su LIBEROquotidiano.it
Obama sposa il libero scambio -e il GOP - e mette nei guai la... http://t.co/dbK83Np11T",Unknown,Sun Apr 26 00:02:32 +0000 2015,0,0,0,0,0,0,0,0
43,43,56,159,,on the soccer field,Alberto Najera,,0,Obama_The_Kid,Unknown,592116513638715392,i hate my job ._. my coworkers never do what they need to before me r.r need a new job,Mountain Time (US & Canada),Sun Apr 26 00:02:32 +0000 2015,0,0,0,0,0,0,0,0
44,44,12394,9715,,Not_provided,Angel,,0,Angelemichelle,Unknown,592116513089265664,Report: Russian Hackers Accessed Obama's Emails http://t.co/r0YTuPc9ss #ccot #tcot,Arizona,Sun Apr 26 00:02:32 +0000 2015,0,0,0,0,0,0,0,0
45,45,346,2001,,"Houston,Tx",LIZA ELIZABETH,,0,LizaElizabethtx,Unknown,592116509549457409,Pelosi criticizes Obama-backed trade bill http://t.co/1XJZHkKNl9,Eastern Time (US & Canada),Sun Apr 26 00:02:31 +0000 2015,0,0,0,0,0,0,0,0
46,46,828,288,,Not_provided,mar almighty,,0,laughlrh,Unknown,592116508324663296,don't wanna be Obama self,Central Time (US & Canada),Sun Apr 26 00:02:31 +0000 2015,0,0,0,0,0,0,0,0
47,47,5749,4971,,Not_provided,ara,,25,HORANCABELL0,Unknown,592116507909312512,RT @cabellotag: quiero dedicarle este rdma a mi mamá y a las chicas que son la razon por la que lo tenga hoy y quiero agradecerle a dios y …,Mexico City,Sun Apr 26 00:02:31 +0000 2015,0,0,0,0,0,0,0,0
48,48,279,454,,Paso de los Toros,Stay Strong (:,,128,SraDeLautner,Unknown,592116507691352065,"RT @FrancoGimenezTW: Tener 4 pruebas el mismo día y un dia antes tener un colapso mental tipo ""La capital de Arg es VERBO, Obama rey de Cub…",Santiago,Sun Apr 26 00:02:31 +0000 2015,0,0,0,0,0,0,0,0
49,49,178390,177447,,Not_provided,♚ ᘇฺᓗl ͻ̇ᓗ̣,,346,brb__7,Unknown,592116507414396928,"RT @FAISAL__KSA1: ﻟﻴﺲ ﻋﻠﻴﻚ ﺍﻥ ﺗﻜﻮﻥ ﻋﻈﻴﻤﺎ ﻟﺘﺒﺪﺃ ، ﻭﻟﻜﻦ ﻋﻠﻴﻚ 
ﺍﻥ ﺗﺒﺪﺃ ﻛﻲ ﺗﻜﻮﻥ ﻋﻈﻴﻤﺎ ..!
Barak Obama in the past http://t.co/Vo7azaKu6y",Kyiv,Sun Apr 26 00:02:31 +0000 2015,0,0,0,0,0,0,0,0
50,50,464,399,,Not_provided,cfiman,,1,Cfiman1Cfiman,Unknown,592116505636024321,RT @JWV52: Report: Russian Hackers Accessed Obama's Emails http://t.co/LwbxbIPUEU via @BreitbartNews,Eastern Time (US & Canada),Sun Apr 26 00:02:30 +0000 2015,0,0,0,0,0,0,0,0
51,51,5213,4727,,Siempre Te Amaré Hugo!,#ChávezEsHumanidad,,1,EmilyKrogger,Unknown,592116505598402560,"RT @100cienCHAVISTA: FOTOS QUE HABLAN
F1.@NicolasMaduro:""Mira Obama lo que te entrò en PANAMÀ es de este TAMAÑO
F2 @MrObama:""ÑO ME JODÌ"" ht…",Caracas,Sun Apr 26 00:02:30 +0000 2015,0,0,0,0,0,0,0,0
52,52,790,807,,Ohio,boo42,,0,boo42OH,Unknown,592116504520499200,"New research frm Duke U. found that current climate models might be overestimated expected warming.OBAMA on WRONG side of this, too!#tcot",Eastern Time (US & Canada),Sun Apr 26 00:02:30 +0000 2015,0,0,0,0,0,0,0,0
53,53,1490,809,"{u'type': u'Point', u'coordinates': [47.31919463, 5.00657474]}",Instagram ➡️,ÇA FLINGUE!!! ®,"{u'full_name': u'Dijon, Bourgogne', u'url': u'https://api.twitter.com/1.1/geo/id/7c3bafe4c4783291.json', u'country': u'France', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[4.9624688, 47.2862364], [5.102104, 47.2862364], [5.102104, 47.3775861], [4.9624688, 47.3775861]]]}, u'contained_within': [], u'country_code': u'FR', u'attributes': {}, u'id': u'7c3bafe4c4783291', u'name': u'Dijon'}",0,MESKO_POGBA,Unknown,592116504075890688,J'mate le cul d'ta racli comme Obama,Amsterdam,Sun Apr 26 00:02:30 +0000 2015,0,0,0,0,0,0,0,0
54,54,1291,1937,,Not_provided,#nick,,0,Morgeson2Song,Unknown,592116502796570624,The Real News: Obama’s New Middle East is an Arab nightmare http://t.co/cBdWD8Vb5D,Unknown,Sun Apr 26 00:02:29 +0000 2015,0,0,0,0,0,0,0,0
55,55,394,798,,Not_provided,ShⒶne ✌,,8,Quinnyyy72,Unknown,592116499244023809,RT @lajouetreine: Here Is Obama's Ukraine Nazis Crucifying And Burning People! #ccot #PJNET #WakeUpAmerica http://t.co/Gg0tYGEkLC http://t.…,Eastern Time (US & Canada),Sun Apr 26 00:02:29 +0000 2015,0,0,0,0,0,0,0,0
56,56,233,166,,Florida,Roslyn Ore,,9,RoslynOre,Unknown,592116499046891520,"RT @OreBobby: Russian Hackers Read Obama’s Unclassified Emails, Officials Say: The hackers dido not appear to have penetrate... http://t.co…",Atlantic Time (Canada),Sun Apr 26 00:02:29 +0000 2015,0,0,0,0,0,0,0,0
57,57,223,305,,East Egg ,LoveStoned Antoinett,,10,August41942,Unknown,592116498786852864,"RT @Russian_Starr: Obama seems incapable of critiquing racism without admonishing black people with typical calls for ""personal responsibly…",Quito,Sun Apr 26 00:02:28 +0000 2015,0,0,0,0,0,0,0,0
58,58,1109,1933,,Not_provided,モリシタ　シロウ,,0,scsmorishita,Unknown,592116497570365440,"First Lady Michelle Obama meets with Emine Erdoğan, wife of the Prime Minister ... http://t.co/hf04Ft4JT1 @MichelleNewsさんから",Unknown,Sun Apr 26 00:02:28 +0000 2015,0,0,0,0,0,0,0,0
59,59,357,102,,"portsmouth ,Rhode Island",george corey,,7,georgecorey4,Unknown,592116491102846976,RT @BlossomMajority: @GenGSPatton -  PHOTO: The Disturbing Picture Of Obama’s Kenyan Grandma He Does NOT Want You To See http://t.co/8FIwZc…,Unknown,Sun Apr 26 00:02:27 +0000 2015,0,0,0,0,0,0,0,0
60,60,2861,3008,,All over the world!,Explosive News,,0,newspalmique,Unknown,592116489207062528,via #endgadget Russian hackers scooped up the President's unclassified email http://t.co/6QXpBAGfne,Bucharest,Sun Apr 26 00:02:26 +0000 2015,0,0,0,0,0,0,0,0
61,61,597,1124,,Los Angeles,Lucia Reyes,,0,LuciaReyesLA,Unknown,592116487114125312,A New Take On Avocado Toast - Refinery29 is participating in First Lady Michelle Obama's #GimmeFive challenge. To ... http://t.co/mgTK6e4BMR,Unknown,Sun Apr 26 00:02:26 +0000 2015,0,0,0,0,0,0,0,0
62,62,2553,54,,Seoul,All Trends IT,,0,All_Trends_IT,Unknown,592116485612515328,"Russian Hackers Read Obama’s Unclassified Emails, Hacked White House Computer Networks http://t.co/TfOAN711X8 via Rahul Srinivas",Hawaii,Sun Apr 26 00:02:25 +0000 2015,0,0,0,0,0,0,0,0
63,63,1765,1961,,Between Agnostic and Atheist,CA,,34,Criticalanglez,Unknown,592116477651619841,"RT @CNNPolitics: If you've crossed Obama in the last year, you might want to stay home tonight #WHCD http://t.co/359ji1zY6g http://t.co/0QF…",Unknown,Sun Apr 26 00:02:23 +0000 2015,0,0,0,0,0,0,0,0
64,64,1553,2000,,"Hawthorne, NY",Frank Morganthaler,,39,GiveMeLibertyUS,Unknown,592116474979815425,"RT @PJStrikeForce: Could Be In A History Book One Day: 
""The Obama Way Of Life"" http://t.co/S2dOrBd6d4",Unknown,Sun Apr 26 00:02:23 +0000 2015,0,0,0,0,0,0,0,0
65,65,11,37,,"Henderson, NV",Vikezilla,,0,Vikezilla,Unknown,592116474078072832,@badsandwich Obama's America,Unknown,Sun Apr 26 00:02:23 +0000 2015,0,0,0,0,0,0,0,0
66,66,3771,1816,,San Francisco,meta,,1,metaquest,Unknown,592116470772989952,"RT @AlisaJass: @metaquest and all we'll hear from the assholes in the media &amp; the assholes on the left is ""why hasn't Obama closed Gitmo""",Pacific Time (US & Canada),Sun Apr 26 00:02:22 +0000 2015,0,0,0,0,0,0,0,0
67,67,164,141,,Not_provided,Mrs_Coder,,18,Mrs_Coder,Unknown,592116468596211712,RT @thehill: Russian hackers reportedly obtained Obama's emails: http://t.co/Wt2C7xzwXP http://t.co/KUdmWPugtq,Unknown,Sun Apr 26 00:02:21 +0000 2015,0,0,0,0,0,0,0,0
68,68,68,24,,Cincinnati area,Michael Cook,,0,truthmiracle,Unknown,592116468445130753,Ron Paul: Obama 'literally assassinated' Americans in airstrikes http://t.co/hmlE4YBpYg,Central Time (US & Canada),Sun Apr 26 00:02:21 +0000 2015,0,0,0,0,0,0,0,0
69,69,651,410,,Crestwood,Dj Coontz,,50688,DieselCoontz,Unknown,592116466243207170,RT @BarackObama: #ClimateChangeIsReal. So is President Obama's 3-point game. http://t.co/M27bxCqJSG,Atlantic Time (Canada),Sun Apr 26 00:02:21 +0000 2015,0,0,0,0,0,0,1,0
70,70,1976,1932,,"Tulsa, Oklahoma",Ian Cone,,10,conens46,Unknown,592116463781031936,"RT @jstines3: Obama renders CONSTITUTION VOID by illegal &amp; rogue Executive Orders!
 
#PJNET #RedMeat #MakeItRight #NoAmnesty 
http://t.co/0…",Unknown,Sun Apr 26 00:02:20 +0000 2015,0,0,0,0,0,0,0,0
71,71,13,37,,"ATHENS, GREECE",NIKOS GKIVISIS,,342,NICKGIVISSIS,Unknown,592116461226852353,RT @nytimes: Russian hackers read President Obama’s unclassified emails http://t.co/5NiYy6T70x http://t.co/aK52eTh81F,Athens,Sun Apr 26 00:02:20 +0000 2015,0,0,0,0,0,0,0,0
72,72,943,840,,"Brooklyn, NY",Monty McKeever,,0,montymckeever,Unknown,592116460824227840,@WhiteHouse Get secret money out of politics https://t.co/9c5jtdxHvH #getmoneyout,Unknown,Sun Apr 26 00:02:19 +0000 2015,0,0,0,0,0,0,0,0
73,73,12,120,,Not_provided,Craig Riggins,,0,RigginsReport,Unknown,592116460396261376,How Ambition and Outrage over Obama Criticism Drove Michael Eric Dyson's Disproportionate Attack... http://t.co/9bDe92wq68,Eastern Time (US & Canada),Sun Apr 26 00:02:19 +0000 2015,0,0,0,0,0,0,0,0
74,74,813,810,,Isaiah 5:20 & Joshua 1:8-9,Jonathan,,0,ad_iudicium1776,Unknown,592116455698726912,Disturbed's Indestructible- American Military Tribute https://t.co/atv9w2G4ll &gt;&gt; SCREW off #Obama #HAMAS #ISIS #MuslimBrotherhood #AlQaeda,Hawaii,Sun Apr 26 00:02:18 +0000 2015,0,0,0,0,0,0,0,0
75,75,47,76,,Not_provided,Tony Amador,,29,tonyamador11,Unknown,592116454952054784,RT @engadget: Russian hackers scooped up the President's unclassified email http://t.co/3ocx8kt3UI http://t.co/CmhWNBBaBi,Unknown,Sun Apr 26 00:02:18 +0000 2015,0,0,0,0,0,0,0,0
76,76,2073,977,,Ecuador,Victoria en CRISTO,,1,VictoriaGilad,Unknown,592116452179746816,"RT @jmkarg: Según el New York Times, algunos mails de Obama fueron interceptados por hackers rusos en 2014 http://t.co/SSM14amHNQ http://t.…",Quito,Sun Apr 26 00:02:17 +0000 2015,0,0,0,0,0,0,0,0
77,77,1268,1837,,Not_provided,...,,25,staybclauren,Unknown,592116449503764480,RT @cabellotag: quiero dedicarle este rdma a mi mamá y a las chicas que son la razon por la que lo tenga hoy y quiero agradecerle a dios y …,Caracas,Sun Apr 26 00:02:17 +0000 2015,0,0,0,0,0,0,0,0
78,78,1959,2106,,Not_provided,Nurse Ratched,,25,veggie64_leslie,Unknown,592116449013047296,"RT @MotherJones: Here's what you need to know about the trade deal dividing the left 
http://t.co/9DQOeaWNHx http://t.co/tub0YUHUio",Unknown,Sun Apr 26 00:02:17 +0000 2015,0,0,0,0,0,0,0,0
79,79,42,48,,"Richmond, VA",Kronoport.com,,0,Kronoportnews,Unknown,592116448564121600,Fresh on Kronoport Senator Cardin's Wife &amp; That Obama Phone Call http://t.co/23nxC1uMau,Atlantic Time (Canada),Sun Apr 26 00:02:16 +0000 2015,0,0,0,0,0,0,0,0
80,80,326,840,,Nick Van Exel ,Clarence Whorley,,0,ClarenceWhorley,Unknown,592116445800194049,"@HeadOColettuce @DeAnn_1 @agalia112 I don't find American's dead, Obama, Hillary blaming a video made by a citizen to hide a CIA op funny",Eastern Time (US & Canada),Sun Apr 26 00:02:16 +0000 2015,0,0,0,0,0,0,0,0
81,81,1984,2173,,NEW JERSEY,josephradomski,,0,pgh08831,Unknown,592116444558598144,Obama is that u i see in that white robe with the Rev Wright?????? https://t.co/D3Yn213Cbo,Pacific Time (US & Canada),Sun Apr 26 00:02:16 +0000 2015,0,0,0,0,0,0,0,0
82,82,4880,3698,,Global,Dr. Tim Kirk,,0,Khantimur,Unknown,592116437914918915,Russian hackers read Obama's unclassified emails last year: NYT http://t.co/5Jyx2qWQzC #Civil_Vision,Unknown,Sun Apr 26 00:02:14 +0000 2015,0,0,0,0,0,0,0,0
83,83,1168,1023,,"Lawton, Oklahoma",EricBrewton.com,,38,ebrew79,Unknown,592116437650526209,"RT @rolandsmartin: And since the media elite is in the room, Pres Obama should challenge them to devote the time &amp; resources to covering th…",Mountain Time (US & Canada),Sun Apr 26 00:02:14 +0000 2015,0,0,0,0,0,0,0,0
84,84,4880,3698,,Global,Dr. Tim Kirk,,0,Khantimur,Unknown,592116435717095424,Russian hackers read Obama's unclassified emails last year: NYT http://t.co/5Jyx2qWQzC #civil_vision,Unknown,Sun Apr 26 00:02:13 +0000 2015,0,0,0,0,0,0,0,0
85,85,155,412,,"Atlanta, GA",Melissa Kemp,,0,narcysus,Unknown,592116433968091136,The Ghosts of Obama's Victims: How Liberals' Attacks on Cornel West Expose Their Political Bank… http://t.co/YlJ0ppKd6k via @BenjaminNorton,Eastern Time (US & Canada),Sun Apr 26 00:02:13 +0000 2015,0,0,0,0,0,0,0,0
86,86,62,235,,Volta Redonda-RJ,Brener Pereira,,15,BrenerTP,Unknown,592116433091432448,"RT @folha: Russos acessam e-mail do presidente Obama, diz jornal. http://t.co/9SplCzNZVT",Mid-Atlantic,Sun Apr 26 00:02:13 +0000 2015,0,0,0,0,0,0,0,0
